iteration,loss,particle.0.mass,particle.1.mass,particle.2.mass,particle.3.mass,particle.4.mass,particle.5.mass,particle.6.mass,particle.7.mass,particle.8.mass,particle.9.mass,particle.10.mass,particle.11.mass,particle.12.mass,particle.13.mass,particle.14.mass,particle.15.mass,particle.16.mass,particle.17.mass,particle.18.mass,particle.19.mass,edge.0.k,edge.1.k,edge.2.k,edge.3.k,edge.4.k,edge.5.k,edge.6.k,edge.7.k,edge.8.k,edge.9.k,edge.10.k,edge.11.k,edge.12.k,edge.13.k,edge.14.k,edge.15.k,edge.16.k,edge.17.k,edge.18.k,edge.19.k,edge.20.k,edge.21.k,gt.particle.0.mass,gt.particle.1.mass,gt.particle.2.mass,gt.particle.3.mass,gt.particle.4.mass,gt.particle.5.mass,gt.particle.6.mass,gt.particle.7.mass,gt.particle.8.mass,gt.particle.9.mass,gt.particle.10.mass,gt.particle.11.mass,gt.particle.12.mass,gt.particle.13.mass,gt.particle.14.mass,gt.particle.15.mass,gt.particle.16.mass,gt.particle.17.mass,gt.particle.18.mass,gt.particle.19.mass,gt.edge.0.k,gt.edge.1.k,gt.edge.2.k,gt.edge.3.k,gt.edge.4.k,gt.edge.5.k,gt.edge.6.k,gt.edge.7.k,gt.edge.8.k,gt.edge.9.k,gt.edge.10.k,gt.edge.11.k,gt.edge.12.k,gt.edge.13.k,gt.edge.14.k,gt.edge.15.k,gt.edge.16.k,gt.edge.17.k,gt.edge.18.k,gt.edge.19.k,gt.edge.20.k,gt.edge.21.k
19,1.1773330697906204e-05,0.21332021057605743,1000000.0,1000000.0,0.07999999821186066,0.07999999821186066,0.6630839705467224,1000000.0,1.7239006757736206,1.5177216529846191,1.621824860572815,0.4338042140007019,0.17271077632904053,1000000.0,1000000.0,1.7642269134521484,2.4705421924591064,1.14750075340271,2.319007635116577,0.495329350233078,1.0309408903121948,105.88600158691406,91.45606994628906,203.1488494873047,190.91722106933594,160.75160217285156,118.17018127441406,18.19232749938965,169.41342163085938,186.08018493652344,1566.75390625,409.2428283691406,404.9173278808594,89.5782699584961,78.4964828491211,340.2417907714844,271.8337707519531,233.02435302734375,225.92234802246094,459.1104431152344,261.0713806152344,194.56663513183594,159.38626098632812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8.66813297761837e-06,0.21461258828639984,1000000.0,1000000.0,0.07999999821186066,0.07999999821186066,0.6519777178764343,1000000.0,1.8205832242965698,1.546243667602539,1.7102102041244507,0.37157201766967773,0.14369088411331177,1000000.0,1000000.0,1.8618966341018677,2.5733537673950195,1.166529893875122,2.341359853744507,0.4105767607688904,1.0605939626693726,118.24613952636719,102.13191986083984,202.40191650390625,190.734619140625,160.97267150878906,112.5029067993164,34.172340393066406,173.80364990234375,185.25331115722656,1568.1387939453125,411.3665466308594,406.267333984375,82.47926330566406,78.31240844726562,344.6385192871094,267.49993896484375,214.9281005859375,224.5390625,457.1387023925781,288.0299987792969,195.21417236328125,158.8600616455078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5.3895541896054056e-06,0.21334592998027802,1000000.0,1000000.0,0.08703632652759552,0.09284837543964386,0.6505362391471863,1000000.0,1.918650507926941,1.5513384342193604,1.8031816482543945,0.33312538266181946,0.17425814270973206,1000000.0,1000000.0,1.9604942798614502,2.673827886581421,1.1898776292800903,2.3538424968719482,0.31804710626602173,1.0798602104187012,132.0193328857422,113.67997741699219,204.4168701171875,189.31185913085938,161.2245635986328,105.26306915283203,52.34049987792969,177.9027862548828,184.41551208496094,1569.2738037109375,413.8563537597656,407.3728332519531,74.74944305419922,78.02273559570312,349.2828369140625,263.1252746582031,196.76870727539062,223.01571655273438,454.8981628417969,316.3252868652344,195.86944580078125,158.1819610595703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.7394323751650518e-06,0.1992100030183792,1000000.0,1000000.0,0.09940062463283539,0.09565098583698273,0.6337164640426636,1000000.0,2.0161640644073486,1.535951018333435,1.8988333940505981,0.2868894040584564,0.20359408855438232,1000000.0,1000000.0,2.056004524230957,2.7699167728424072,1.2247827053070068,2.36295223236084,0.23016738891601562,1.0886313915252686,145.78541564941406,124.78107452392578,207.61195373535156,185.91903686523438,161.49366760253906,100.91110229492188,69.7069320678711,181.69525146484375,183.75599670410156,1570.2025146484375,416.69683837890625,408.2917175292969,66.29875183105469,77.66458892822266,354.11077880859375,258.13946533203125,179.16021728515625,221.3994598388672,452.4779357910156,342.852783203125,196.4599151611328,157.47357177734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7.629862921021413e-06,0.17294494807720184,1000000.0,1000000.0,0.11546459794044495,0.07999999821186066,0.59656822681427,1000000.0,2.1183695793151855,1.484724998474121,1.9915999174118042,0.22361569106578827,0.21240094304084778,1000000.0,1000000.0,2.1515188217163086,2.863354206085205,1.2769993543624878,2.3818981647491455,0.24929314851760864,1.0855339765548706,159.05287170410156,135.0563201904297,210.750244140625,180.99415588378906,161.81658935546875,104.31373596191406,81.83513641357422,185.29624938964844,184.77577209472656,1570.9638671875,419.66131591796875,409.09552001953125,56.048954010009766,76.0755844116211,358.68408203125,250.97085571289062,161.48147583007812,219.054443359375,448.5875549316406,355.87115478515625,196.69459533691406,155.64163208007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5.94683297094889e-06,0.15211085975170135,1000000.0,1000000.0,0.13271427154541016,0.07999999821186066,0.5857319831848145,1000000.0,2.2240664958953857,1.4163850545883179,2.090820789337158,0.15267552435398102,0.22375725209712982,1000000.0,1000000.0,2.2477707862854004,2.950731039047241,1.3432992696762085,2.4206788539886475,0.28872305154800415,1.0849599838256836,171.6513671875,144.96954345703125,213.31527709960938,178.15711975097656,162.16334533691406,107.01199340820312,85.22396850585938,188.66880798339844,187.23788452148438,1571.6038818359375,422.3365478515625,409.87890625,45.103233337402344,73.51317596435547,362.7491455078125,243.3085174560547,145.03070068359375,216.1439208984375,443.5738525390625,361.89581298828125,196.7179718017578,152.747314453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5.2850118663627654e-06,0.14416827261447906,1000000.0,1000000.0,0.14876502752304077,0.09310277551412582,0.6000044345855713,1000000.0,2.331683397293091,1.3382492065429688,2.1952292919158936,0.10760021209716797,0.24017104506492615,1000000.0,1000000.0,2.342714548110962,3.029399871826172,1.4108073711395264,2.4754462242126465,0.31970521807670593,1.0961928367614746,183.03692626953125,154.36090087890625,214.680419921875,179.17710876464844,162.50831604003906,105.72828674316406,81.0817642211914,191.82310485839844,190.8201141357422,1572.1644287109375,424.511962890625,410.7080993652344,33.322715759277344,71.4322280883789,367.00048828125,236.3868408203125,131.00071716308594,212.84375,437.6748046875,368.931884765625,196.6940155029297,148.98345947265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6.606765509786783e-06,0.1415124088525772,1000000.0,1000000.0,0.1616700142621994,0.10428118705749512,0.6127849817276001,1000000.0,2.4395439624786377,1.2576862573623657,2.302990436553955,0.1051085963845253,0.2421373724937439,1000000.0,1000000.0,2.4320778846740723,3.097627639770508,1.4711086750030518,2.538341760635376,0.3281199038028717,1.1172969341278076,192.5243377685547,162.55677795410156,214.36917114257812,182.38656616210938,162.8300018310547,101.78466796875,72.50910186767578,194.7993621826172,195.1359100341797,1572.679443359375,426.1908264160156,411.5722351074219,20.177448272705078,72.54179382324219,372.17352294921875,230.58551025390625,120.37529754638672,209.3495635986328,431.04595947265625,380.5144958496094,196.68267822265625,144.54592895507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6.259389920160174e-06,0.1387074738740921,1000000.0,1000000.0,0.17010796070098877,0.10310543328523636,0.6039350628852844,1000000.0,2.546187400817871,1.186138391494751,2.4124200344085693,0.1303393393754959,0.22361013293266296,1000000.0,1000000.0,2.5112032890319824,3.1547532081604004,1.5228222608566284,2.6001598834991455,0.31857046484947205,1.144696593284607,200.01193237304688,169.32518005371094,212.4210968017578,186.33030700683594,163.11109924316406,98.7678451538086,63.128021240234375,197.64578247070312,199.7482147216797,1573.1727294921875,427.45281982421875,412.4318542480469,5.757637977600098,76.65592193603516,378.16534423828125,225.31625366210938,113.69181823730469,205.87294006347656,423.77972412109375,395.6839294433594,196.66481018066406,139.6198272705078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4.5788538045599125e-06,0.13859830796718597,1000000.0,1000000.0,0.17347164452075958,0.09825503081083298,0.5930416584014893,1000000.0,2.6505589485168457,1.1386126279830933,2.522097110748291,0.16175352036952972,0.19473996758460999,1000000.0,1000000.0,2.578915596008301,3.2009851932525635,1.5685471296310425,2.652634382247925,0.302458256483078,1.1778680086135864,205.96424865722656,175.0286407470703,209.3085174560547,191.16497802734375,163.3392333984375,96.39408111572266,56.37763214111328,200.39634704589844,204.2381134033203,1573.6568603515625,428.3498840332031,413.2562561035156,9.999999747378752e-05,81.58390045166016,384.0625915527344,220.5661163330078,110.98947143554688,202.61895751953125,415.94073486328125,411.76885986328125,196.6079864501953,134.36367797851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
